streamflow,JPO4,JPON,JPOP,PO4JRES,PO4T2R,POPR,baseflow,%sat_area,evap,sat_def,snowpack,trans,missisquoi_Q,missisquoi_TP,missisquoi_TN,pike_Q,pike_TP,pike_TN,rock_Q,rock_TP,rock_TN,basin_TP_gps,basin_TN_gps,RandomNum,CHLAClass,ipsl-cm5a-mr.1,miroc-esm-chem.1,mri-cgcm3.1,noresm1-m.1,canesm2.1,ccsm4.1,gfdl-esm2m.1,inmcm4.1,miroc-esm.1,rcp45,rcp60,rcp85,rcp26,0_redux,100_redux,20_redux,40_redux,60_redux,64_redux,80_redux,S0_redux,S1_redux,S2_redux,S3_redux,S4_redux
33.9524278024537,0.91111311391532,3.5502095782785394,1.7473547625170052,0.0,262556.7210544065,0.1442700638759622,1.262843,1.393419,0.4508359999999999,131.543926,1.13614,0.082199,34.645334492299696,0.0707375288628097,0.613386132401366,7.893873681789804,0.0707375288628097,0.613386132401366,1.315645613631634,0.0707375288628097,0.613386132401366,3.1021839855832254,26.89995915187766,0.1197125751553618,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22.79424764194444,5.584516734242153,10.306052768259024,1.942445649374589,0.0,279777.5731414868,0.1315445713609528,0.935671,1.229789,2.569395,156.32272,1.13448,0.0,23.259436369331063,0.0520036737731715,0.603155561360935,5.299618413265305,0.0520036737731715,0.603155561360935,0.8832697355442174,0.0520036737731715,0.603155561360935,1.5311090393652325,17.758301772509906,0.2904590216963377,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36.88011135074074,3.39371740582178,6.584632349814728,1.335000861248524,0.0,186424.8039193645,0.1253252141266989,1.321246,1.318049,0.285659,147.45432,1.134406,0.0,37.63276668442933,0.037281418469293,0.6160704298489602,8.574554434426934,0.037281418469293,0.6160704298489602,1.4290924057378225,0.037281418469293,0.6160704298489602,1.7759530669866836,29.3473857565595,0.2078850355877921,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23.03802821861112,7.618872193695544,6.625498996364127,1.3716872536021172,0.0,173112.14503709532,0.1254139725896094,0.989197,1.308678,0.5873,134.994819,1.136192,0.0,23.50819205980726,0.0253975601488889,0.6033790758114986,5.356296925019375,0.0253975601488889,0.6033790758114986,0.8927161541698958,0.0253975601488889,0.6033790758114986,0.755760407380492,17.954874935500904,0.5067057366383331,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17.909725999814814,3.6028272273729174,7.712320886927543,1.5400909844348185,0.0,196156.33099145684,0.1376737941512101,0.571581,1.215099,1.463919,175.666934,1.135263,0.0,18.27523061205593,0.0297582167790391,0.5986771029618506,4.1639765951519845,0.0297582167790391,0.5986771029618506,0.6939960991919973,0.0297582167790391,0.5986771029618506,0.688402878785433,13.849319137703006,0.7852014809022697,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11.032725828657409,0.902919165950885,4.251059475562555,0.889534358355067,0.0,214216.8408086032,0.1283345472969883,0.725495,1.153354,1.275403,172.89916200000002,1.135248,0.174831,11.257883498630008,0.0271437164087923,0.592371806060024,2.565087379434685,0.0271437164087923,0.592371806060024,0.4275145632391142,0.0271437164087923,0.592371806060024,0.3868111355063744,8.441585798097215,0.6813701950039976,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17.740612134861113,0.4076844808116233,4.542942176334006,0.3686847210430699,0.0,89714.3844658648,0.0957855823800432,0.877914,1.185965,0.165014,164.378214,1.135585,0.0762149999999999,18.10266544373583,0.0059386406857155,0.5985220479811599,4.124657949205632,0.0059386406857155,0.5985220479811599,0.6874429915342719,0.0059386406857155,0.5985220479811599,0.1360825639545139,13.714992905446255,0.2522622947814954,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29.565090231157413,2.994721235131188,6.474695169096656,0.9783165892251104,0.0,179393.7182816247,0.1278590590333481,0.982647,1.085307,0.761588,137.952651,1.136717,0.0,30.16845941954838,0.020595824028814,0.6093635258422467,6.873826196859125,0.020595824028814,0.6093635258422467,1.1456376994765205,0.020595824028814,0.6093635258422467,0.7865117486397919,23.270327596360435,0.0559263171252819,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42.33755298847222,9.523209492079646,7.668504182097437,1.1526751379600817,0.0,86013.63613328087,0.1031711425194494,1.433005,1.411178,0.659496,120.340629,1.13622,0.0,43.20158468211451,0.0079060548206338,0.6210741798844204,9.843399041494443,0.0079060548206338,0.6210741798844204,1.6405665069157405,0.0079060548206338,0.6210741798844204,0.4323469580190555,33.9637832609514,0.7964980805582837,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
33.03282820231482,2.4664050220585554,9.902237217489192,3.258925161773352,0.0,165323.98909622303,0.1346923733750979,1.245668,1.13355,0.00772,107.589735,0.371465,0.97086,33.70696755338247,0.0357187707725506,0.6125429815557407,7.680068556466892,0.0357187707725506,0.6125429815557407,1.280011426077815,0.0357187707725506,0.6125429815557407,1.524014490477304,26.13540051183736,0.8279369743815066,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25.07526095125,2.5887156650602674,6.518035672551436,0.8864314231655295,0.0,126406.37897182256,0.1212505540169543,0.846592,1.243128,0.563871,163.84386899999998,1.134433,0.144617,25.58700097066327,0.0065092480154768,0.60524694798217,5.82994958825239,0.0065092480154768,0.60524694798217,0.9716582647087316,0.0065092480154768,0.60524694798217,0.2108254877092322,19.603106639887045,0.7196600271794563,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
